GEO_ID,NAME,pop,households,median_income,state,county,tract
1400000US18097361100,Census Tract 3611; Marion County; Indiana,3161,1430,81250,18,097,361100
1400000US18097361200,Census Tract 3612; Marion County; Indiana,3307,1439,72618,18,097,361200
1400000US18097361300,Census Tract 3613; Marion County; Indiana,2503,1042,67744,18,097,361300
1400000US18097361401,Census Tract 3614.01; Marion County; Indiana,5349,1867,62094,18,097,361401
1400000US18097361402,Census Tract 3614.02; Marion County; Indiana,5711,2116,81576,18,097,361402
1400000US18097361601,Census Tract 3616.01; Marion County; Indiana,5428,2051,92769,18,097,361601
1400000US18097361602,Census Tract 3616.02; Marion County; Indiana,3415,1265,104678,18,097,361602
1400000US18097370201,Census Tract 3702.01; Marion County; Indiana,3535,1390,53333,18,097,370201
1400000US18097370203,Census Tract 3702.03; Marion County; Indiana,5099,1483,48578,18,097,370203
1400000US18097370204,Census Tract 3702.04; Marion County; Indiana,3614,1469,67631,18,097,370204
1400000US18097370303,Census Tract 3703.03; Marion County; Indiana,7548,2332,87262,18,097,370303
1400000US18097370304,Census Tract 3703.04; Marion County; Indiana,4046,1438,81250,18,097,370304
1400000US18097370305,Census Tract 3703.05; Marion County; Indiana,3925,1697,44142,18,097,370305
1400000US18097370306,Census Tract 3703.06; Marion County; Indiana,4740,1767,86954,18,097,370306
1400000US18097380101,Census Tract 3801.01; Marion County; Indiana,7037,3018,133152,18,097,380101
1400000US18097380102,Census Tract 3801.02; Marion County; Indiana,3353,1400,105938,18,097,380102
1400000US18097380103,Census Tract 3801.03; Marion County; Indiana,9569,3220,90745,18,097,380103
1400000US18097380200,Census Tract 3802; Marion County; Indiana,2970,1584,40616,18,097,380200
1400000US18097380301,Census Tract 3803.01; Marion County; Indiana,2377,888,50000,18,097,380301
1400000US18097380302,Census Tract 3803.02; Marion County; Indiana,3866,1061,46526,18,097,380302
1400000US18097380402,Census Tract 3804.02; Marion County; Indiana,5101,2155,45903,18,097,380402
1400000US18097380403,Census Tract 3804.03; Marion County; Indiana,3502,1632,65595,18,097,380403
1400000US18097380404,Census Tract 3804.04; Marion County; Indiana,4044,1758,62788,18,097,380404
1400000US18097380501,Census Tract 3805.01; Marion County; Indiana,2802,957,53750,18,097,380501
1400000US18097380502,Census Tract 3805.02; Marion County; Indiana,3445,1441,49014,18,097,380502
1400000US18097380600,Census Tract 3806; Marion County; Indiana,4891,2059,72298,18,097,380600
1400000US18097380700,Census Tract 3807; Marion County; Indiana,6887,2707,53499,18,097,380700
1400000US18097380800,Census Tract 3808; Marion County; Indiana,2977,1254,60500,18,097,380800
1400000US18097380901,Census Tract 3809.01; Marion County; Indiana,5110,2000,92256,18,097,380901
1400000US18097380902,Census Tract 3809.02; Marion County; Indiana,6191,2695,79063,18,097,380902
1400000US18097381002,Census Tract 3810.02; Marion County; Indiana,3808,1477,90529,18,097,381002
1400000US18097381003,Census Tract 3810.03; Marion County; Indiana,3677,1569,43060,18,097,381003
1400000US18097381004,Census Tract 3810.04; Marion County; Indiana,4121,1693,35106,18,097,381004
1400000US18097381101,Census Tract 3811.01; Marion County; Indiana,6134,2506,90816,18,097,381101
1400000US18097381102,Census Tract 3811.02; Marion County; Indiana,7235,2841,70554,18,097,381102
1400000US18097381203,Census Tract 3812.03; Marion County; Indiana,3047,1118,49250,18,097,381203
1400000US18097381204,Census Tract 3812.04; Marion County; Indiana,3030,1613,39073,18,097,381204
1400000US18097381205,Census Tract 3812.05; Marion County; Indiana,7709,2739,54538,18,097,381205
1400000US18097381206,Census Tract 3812.06; Marion County; Indiana,4215,1760,75867,18,097,381206
1400000US18097381207,Census Tract 3812.07; Marion County; Indiana,4407,1561,72300,18,097,381207
1400000US18097390102,Census Tract 3901.02; Marion County; Indiana,5309,2740,42351,18,097,390102
1400000US18097390103,Census Tract 3901.03; Marion County; Indiana,3248,1433,86406,18,097,390103
1400000US18097390104,Census Tract 3901.04; Marion County; Indiana,7380,2587,99364,18,097,390104
1400000US18097390200,Census Tract 3902; Marion County; Indiana,6704,2368,114398,18,097,390200
1400000US18097390300,Census Tract 3903; Marion County; Indiana,7413,2487,120650,18,097,390300
